Genre Name,Genre Description,Movies Included,Movies Excluded,Recommend using guidelines
Neo-Mythical,Films blending ancient mythology with modern settings or themes.,"""Percy Jackson"", ""American Gods""","""Clash of the Titans"", ""Hercules""",Select a movie that includes both Mythology and Modern setting and create a narrative to show how it meets these criteria
Futuristic Noir,A genre that combines elements of film noir and science fiction.,"""Blade Runner"", ""Altered Carbon""","""Minority Report"", ""Total Recall""",Select a movie that includes both Mythology and Modern setting and create a narrative to show how it meets these criteria
Eco-Thriller,Films focused on environmental disasters or ecological themes with a thriller twist.,"""The Day After Tomorrow"", ""Snowpiercer""","""2012"", ""Avatar""",Select a movie that includes both Environmental Disaster and Thriller Twist and create a narrative to show how it meets these criteria
Historical Fantasy,Films set in a real historical setting but with fantastical elements.,"""Pan's Labyrinth"", ""The Prestige""","""Braveheart"", ""Troy""",Select a movie and describe how it is deviating from actual history
Cyber-Western,Western themes and settings fused with cyberpunk elements.,"""Westworld"", ""Cowboys & Aliens""","""True Grit"", ""Blade Runner""",Select a movie and show how western theme is depicted in the movie
Ballroom Dancing,Films centered around the art and drama of ballroom dancing.,"""Shall We Dance?"", ""Strictly Ballroom"", ""Footloose"", ""Dirty Dancing""","""Sound of Music"", ""Saturday Night Live""",Select a movie that includes ball room dancing theme and list names of all ball room dances and associated songs in the movie
Bollywood Historical,Indian cinema films that depict historical settings.,"""Jodhaa Akbar"", ""Bajirao Mastani"", ""Mughal-e-Azam"", ""Dangal""","""Slumdog Millionaire"", ""Lagaan""",Select a movie that includes both Indian history.  Please describe the time period and key historical figures included in the movie
Harry Potter movies,"Films specifically within the Harry Potter universe, encompassing magic and wizardry.","""Harry Potter and the Sorcerer's Stone"", ""Harry Potter and the Prisoner of Azkaban""","""The Chronicles of Narnia"", ""Fantastic Beasts""",Select a movie and include which Book is included and any deviation from the book
Star Wars movies,"Films that are a part of the Star Wars franchise, set in the distant galaxy.","""Star Wars: A New Hope"", ""Star Wars: The Empire Strikes Back""","""Star Trek"", ""Guardians of the Galaxy""",Select a movie and provide which StarWars series and who are the main characters
Chick Flicks,"Romantic comedies or dramas that cater primarily to a female audience, often centered on relationships.","""The Notebook"", ""Bridget Jones's Diary""","""Die Hard"", ""The Shawshank Redemption""",Select a movie and tell us if it has happy ending or not.